Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),N2X2(45),H2(20)
1.3440457434568301e-09,0.03159427132446203,5.394108786820679e-07,0.938,0.0,0.0,0.021190433555457366,0.00999599000653781,0.049988797369120985,1.9419907859977173e-63,7.781253406227207e-73,0.0019986364819381736,3.561287049815066e-88,5.151711179869737e-89,1.094169733589637e-05,7.864203212952789e-44,8.262775891054767e-06,1.386087098919503e-26,1.814457650214186e-08,1.3278296926208499e-06,3.568836920423666e-08,1.6902736988533543e-18,7.110735629815414e-86,5.662129129317115e-62,2.52793192838528e-49,1.6257375465381319e-16
1.3553529007474385e-09,0.03159427132446203,5.438157988724664e-07,0.938,0.0,0.0,0.021190322623280494,0.009995956306098789,0.04998876970333942,2.0773850135792798e-63,8.065982729404287e-73,0.0019986250213410934,3.7617810058217745e-88,5.3401750451878526e-89,1.0967279223626092e-05,8.095374265833921e-44,8.332345327612747e-06,1.4228325845308037e-26,1.805991181507022e-08,1.3391378218477484e-06,3.5840837057784535e-08,1.7130957229012494e-18,7.505908826835731e-86,5.807976606546604e-62,2.683400807141501e-49,1.666445037277618e-16
1.3666600580380469e-09,0.03159427132446203,5.48219242905435e-07,0.938,0.0,0.0,0.021190212157004056,0.009995922606125486,0.04998874250090073,2.2210742707164005e-63,8.358005894639713e-73,0.001998613560893976,3.9712329714502336e-88,5.533464273589066e-89,1.0992398721301346e-05,8.331152929980452e-44,8.4019124950933e-06,1.4602927699076815e-26,1.797563194960679e-08,1.3504449868038221e-06,3.599411921942009e-08,1.7361122887898243e-18,7.918499366528697e-86,5.95588439773016e-62,2.8471925391970167e-49,1.70781716205989e-16
1.3779672153286552e-09,0.03159427132446203,5.526212286135843e-07,0.938,0.0,0.0,0.021190102148250158,0.009995888906616427,0.049988715753448126,2.373501058769594e-63,8.657425344055838e-73,0.00199860210059652,4.1899366392129766e-88,5.7316465338062994e-89,1.1017064170230337e-05,8.571589522732304e-44,8.471477407189785e-06,1.4984777607662104e-26,1.7891741657279233e-08,1.3617511961983446e-06,3.614820728068019e-08,1.759325259633776e-18,8.34907020592906e-86,6.1058547195402735e-62,3.0196919408933726e-49,1.749859077278918e-16
1.3892743726192636e-09,0.03159427132446203,5.570217736212073e-07,0.938,0.0,0.0,0.021189992588791895,0.009995855207570159,0.04998868945277548,2.5351282743603684e-63,8.964343632090216e-73,0.0019985906404484306,4.418191794672643e-88,5.934789565561973e-89,1.1041283761248136e-05,8.81673460160368e-44,8.541040077544245e-06,1.5373977782901785e-26,1.7808245454866336e-08,1.3730564587119194e-06,3.630309285639337e-08,1.782736500943063e-18,8.79819583680247e-86,6.2578897783947745e-62,3.2012991345812615e-49,1.7925759366476434e-16
1.400581529909872e-09,0.03159427132446203,5.614208953447078e-07,0.938,0.0,0.0,0.021189883470550598,0.009995821508985262,0.049988663590824704,2.706440018411137e-63,9.278863425229899e-73,0.001998579180449418,4.656304382183041e-88,6.142961179381276e-89,1.1065065537431146e-05,9.066638970633062e-44,8.610600519745495e-06,1.5770631601307412e-26,1.7725147628974862e-08,1.3843607829950438e-06,3.645876758621372e-08,1.8063478805392627e-18,9.266462412495328e-86,6.411991779680642e-62,3.3924300737870395e-49,1.8359728912540915e-16
1.4118886872004803e-09,0.03159427132446203,5.658186109931209e-07,0.938,0.0,0.0,0.021189774785593207,0.009995787810860347,0.049988638159683026,2.8879424328988404e-63,9.601087502196896e-73,0.001998567720599196,4.9045865724727607e-88,6.356229256704487e-89,1.1088417396762576e-05,9.321353686742497e-44,8.680158747327283e-06,1.617484361405675e-26,1.764245224063416e-08,1.3956641776666922e-06,3.661522313613201e-08,1.830161268472217e-18,9.754467878425167e-86,6.568162936691916e-62,3.5935170840762084e-49,1.8800550896162275e-16
1.4231958444910887e-09,0.03159427132446203,5.702149375687229e-07,0.938,0.0,0.0,0.0211896665261296,0.009995754113194035,0.049988613151580326,3.080164566132558e-63,9.931118754569923e-73,0.001998556260897486,5.16335683215574e-88,6.574661750288499e-89,1.1111347094749822e-05,9.580930066102063e-44,8.749714773766468e-06,1.658671955698164e-26,1.7560163129903344e-08,1.4069666513129235e-06,3.6772451199962755e-08,1.8541785369369904e-18,1.026282210636341e-85,6.726405479281871e-62,3.8050094200136484e-49,1.9248276777355504e-16
1.434503001781697e-09,0.03159427132446203,5.746098918677243e-07,0.938,0.0,0.0,0.02118955868451008,0.00999572041598498,0.04998858855888669,3.283659267397134e-63,1.0269060187828031e-72,0.0019985448013440125,5.432939995250485e-88,6.79832668488796e-89,1.1133862246994638e-05,9.845419690495454e-44,8.819268612481216e-06,1.700636636055089e-26,1.747828392048621e-08,1.4182682124855103e-06,3.69304435008062e-08,1.8784015601912203e-18,1.0792147032657491e-85,6.8867216622297255e-62,4.027373838636188e-49,1.9702957991494735e-16
1.4458101590723054e-09,0.03159427132446203,5.790034904810451e-07,0.938,0.0,0.0,0.02118945125322278,0.009995686719231867,0.049988564374109735,3.499004111833857e-63,1.0615014922802139e-72,0.001998533341938506,5.713667336787339e-88,7.027292158206751e-89,1.115597033171699e-05,1.0114874413683059e-43,8.88882027682927e-06,1.7433892159847366e-26,1.739681802434916e-08,1.4295688697005927e-06,3.708919179248421e-08,1.9028322144728915e-18,1.1343076800533883e-85,7.049113773322409e-62,4.261095189867473e-49,2.0164645949824897e-16
1.4571173163629138e-09,0.03159427132446203,5.833957497951697e-07,0.938,0.0,0.0,0.021189344224891247,0.009995653022933386,0.04998854058989229,3.726802356455227e-63,1.0969086197520512e-72,0.0019985218826807003,6.005876648580482e-88,7.261626342110565e-89,1.1177678692233381e-05,1.0389346367758846e-43,8.958369780106217e-06,1.7869406304538965e-26,1.7315768646337692e-08,1.440868631437357e-06,3.724868786094898e-08,1.927472377918596e-18,1.1916257906617558e-85,7.213584141152558e-62,4.5066770243164476e-49,2.0633392039961512e-16
1.4684244736535222e-09,0.03159427132446203,5.87786685993073e-07,0.938,0.0,0.0,0.021189237592271953,0.009995619327088265,0.049988517199009784,3.9676839282103766e-63,1.1331377369434316e-72,0.0019985104235703366,6.309912317237912e-88,7.501397484091327e-89,1.1198994539390419e-05,1.0668887969497613e-43,9.027917135543815e-06,1.8313019368842805e-26,1.7235138788787054e-08,1.452167506136745e-06,3.740892352566353e-08,1.9523239304823197e-18,1.2512349351797339e-85,7.3801351426343695e-62,4.764642218907995e-49,2.1109247626378825e-16
1.4797316309441306e-09,0.03159427132446203,5.921763150552202e-07,0.938,0.0,0.0,0.021189131348251913,0.009995585631695255,0.04998849419436801,4.2223064450383813e-63,1.170199191800918e-72,0.0019984989646071576,6.626125404479184e-88,7.746673908974171e-89,1.1219924953954522e-05,1.0953551926689248e-43,9.097462356308368e-06,1.8764843161482328e-26,1.7154931256122883e-08,1.4634655022001855e-06,3.756989064095332e-08,1.9773887538548093e-18,1.3132022796560265e-85,7.548769210239588e-62,5.035533620802191e-49,2.1592264050886452e-16
1.491038788234739e-09,0.03159427132446203,5.965646527606322e-07,0.938,0.0,0.0,0.021189025485846367,0.009995551936753123,0.04998847156900067,4.4913562708701923e-63,1.2081033447668905e-72,0.0019984875057909124,6.954873729827482e-88,7.997524020857749e-89,1.1240476888958474e-05,1.124339124445677e-43,9.167005455499115e-06,1.922499073563662e-26,1.707514865944763e-08,1.4747626279883563e-06,3.773158109732776e-08,2.002668731383549e-18,1.377596272091212e-85,7.719488838956047e-62,5.319914710068475e-49,2.2082492633094796e-16
1.5023459455253473e-09,0.03159427132446203,6.00951714688018e-07,0.938,0.0,0.0,0.021188919998196425,0.009995518242260663,0.049988449316067135,4.7755496055658624e-63,1.24686056910776e-72,0.001998476047121356,7.296521955739452e-88,8.254016305278738e-89,1.1260657172005708e-05,1.1538459231555128e-43,9.23654644614668e-06,1.969357639888166e-26,1.6995793421109016e-08,1.4860588918199763e-06,3.7893986822771115e-08,2.028165747993408e-18,1.4444866588994988e-85,7.892296592971622e-62,5.618370281592171e-49,2.257998467086935e-16
1.5136531028159557e-09,0.03159427132446203,6.053375162169662e-07,0.938,0.0,0.0,0.021188814878566838,0.009995484548216685,0.04998842742885015,5.075633610799779e-63,1.2864812512746756e-72,0.0019984645885982436,7.651441675233054e-88,8.516219331591668e-89,1.1280472507532977e-05,1.183880950664775e-43,9.306085341211569e-06,2.0170715723122895e-26,1.691686777924671e-08,1.4973543019706267e-06,3.805709978400203e-08,2.0538816901079814e-18,1.513944501850696e-85,8.067195112086714e-62,5.931507146701838e-49,2.308479144077418e-16
