Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),H2(13)
2.0099904345711243e-06,0.0505958752244895,6.698241561470695e-07,1.2818725684853189e-08,7.682737113973262e-07,5.008510024213451e-38,6.629518916792936e-05,0.938,5.984272346272897e-19,0.018468413238417154,1.6443332141369177e-07,1.8208866178867313e-09,2.3248508503169193e-06,0.0,0.0,0.015430083522510966,0.0007939362998458698,0.04994294406729312,3.601915249254797e-24,1.585945821018772e-30,0.0019968280729464392,3.119571957966117e-36,2.3733534754151585e-05
2.01556326928859e-06,0.0505958752244895,6.698572609773237e-07,1.2893016984331158e-08,7.679240911043406e-07,5.07733831639758e-38,6.622298147254414e-05,0.938,6.026423162535212e-19,0.018475291987579336,1.6545682577413843e-07,1.8211954268297015e-09,2.323828315665617e-06,0.0,0.0,0.01542327722198981,0.0007904937294356513,0.04994295080826286,3.6505623023954686e-24,1.6000547510558003e-30,0.0019968279645806,3.165143185676571e-36,2.376487319825631e-05
2.0211361040060556e-06,0.0505958752244895,6.698900323694093e-07,1.2967729458090708e-08,7.675763081868269e-07,5.147044533252533e-38,6.615116604369554e-05,0.938,6.068825358319121e-19,0.018482134932973956,1.664861479470444e-07,1.8215034805974218e-09,2.322811092556636e-06,0.0,0.0,0.015416506319915974,0.0007870690957770815,0.04994295747766025,3.699816676928444e-24,1.6142629646606765e-30,0.0019968278449976704,3.211321710327516e-36,2.3796094225614382e-05
2.026708938723521e-06,0.0505958752244895,6.69922468724602e-07,1.3042865396354866e-08,7.672303500411134e-07,5.21763935593153e-38,6.607974085301719e-05,0.938,6.111480379771027e-19,0.01848894231572966,1.6752132123450958e-07,1.8218107639695614e-09,2.321799144770788e-06,0.0,0.0,0.015409770577204012,0.0007836622781499057,0.04994296407580975,3.749685624740715e-24,1.6285710536883017e-30,0.001996827714199875,3.2581151265164456e-36,2.3827198589998545e-05
2.032281773440987e-06,0.0505958752244895,6.699545685184755e-07,1.3118427102443282e-08,7.668862041784483e-07,5.289133591835171e-38,6.600870387628316e-05,0.938,6.15438968109487e-19,0.018495714374830063,1.6856237911985283e-07,1.8221172621573436e-09,2.3207924364159944e-06,0.0,0.0,0.015403069756908682,0.0007802731569045256,0.049942970603039476,3.800176482398144e-24,1.6429796133978858e-30,0.0019968275721888445,3.3055311202247064e-36,2.3858187039682395e-05
2.0378546081584524e-06,0.0505958752244895,6.699863302992125e-07,1.3194416892835575e-08,7.665438582236601e-07,5.361538176074205e-38,6.593805309354608e-05,0.938,6.1975547245968e-19,0.018502451347138012,1.6960935526865925e-07,1.822422960796508e-09,2.3197909319235184e-06,0.0,0.0,0.015396403624200498,0.0007769016134498862,0.049942977059681065,3.851296672119198e-24,1.6574892424719147e-30,0.0019968274189656166,3.353577469889575e-36,2.3889060317476394e-05
2.043427442875918e-06,0.0505958752244895,6.700177526859626e-07,1.3270837097234956e-08,7.662032999138394e-07,5.43486417294895e-38,6.586778648927151e-05,0.938,6.240976980730065e-19,0.018509153467419624,1.706622835298322e-07,1.8227278459399549e-09,2.3187945960442444e-06,0.0,0.0,0.015389771946341604,0.0007735475302415344,0.049942983446069567,3.903053702759806e-24,1.6721005430352233e-30,0.001996827254530644,3.4022620474886914e-36,2.3919819160763807e-05
2.0490002775933837e-06,0.0505958752244895,6.70048834367229e-07,1.3347690058632276e-08,7.658645170970384e-07,5.509122777445593e-38,6.579790205246863e-05,0.938,6.284657928140189e-19,0.01851582096836795,1.7172119793665044e-07,1.8230319040514513e-09,2.317803393845002e-06,0.0,0.0,0.015383174492661997,0.0007702107907698406,0.049942989762543404,3.9554551708093726e-24,1.6868141206741674e-30,0.001996827078883794,3.4515928196369687e-36,2.3950464301536454e-05
2.0545731123108493e-06,0.0505958752244895,6.700795740992593e-07,1.342497813337032e-08,7.655274977309892e-07,5.584325316749666e-38,6.57283977768176e-05,0.938,6.328599053710358e-19,0.018522454080626225,1.7278613270783002e-07,1.8233351219990925e-09,2.316817290704962e-06,0.0,0.0,0.015376611034536075,0.000766891279548381,0.049942996009444185,4.0085087613981615e-24,1.701630584455911e-30,0.001996826892024356,3.501577848696162e-36,2.398099646643052e-05
2.060145947028315e-06,0.0505958752244895,6.701099707044828e-07,1.3502703691208427e-08,7.651922298818389e-07,5.660483251776702e-38,6.565927166079332e-05,0.938,6.372801852607055e-19,0.018529053032810997,1.7385712224859171e-07,1.8236374870478235e-09,2.315836252312055e-06,0.0,0.0,0.015370081345359506,0.0007635888821024803,0.04994300218711671,4.0622222493161004e-24,1.716550546947816e-30,0.0019968266939510444,3.5522252938971955e-36,2.4011416376762158e-05
