Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),N2X2(45),H2(20),H2X(38)
2.109128931503086e-05,0.04836553141748826,7.744511579036941e-05,0.938,0.0,0.0,0.014032421232661437,0.000873990542076095,0.04989804883356965,2.667828429482443e-09,-7.161193700156667e-27,0.0019925583518577692,-1.5836936499532044e-30,-2.2938570280516127e-41,8.348759479732007e-07,3.0312594694964263e-19,0.01835313401926175,2.741422282527819e-07,1.1870684249243209e-09,3.7917424556872546e-06,7.578277532960741e-07,3.502375309833396e-08,-7.426985575502755e-34,-7.328887611381306e-29,1.2887881475144266e-06,6.702533968330999e-05,6.731826963590738e-08
2.1120884514865165e-05,0.04836553141748826,7.740196923171606e-05,0.938,0.0,0.0,0.014028964851926154,0.0008722072151664226,0.0498981229721228,2.6784995764208664e-09,-7.161145667265628e-27,0.0019925512614338827,4.515872842773681e-31,-2.064170859630974e-41,8.346715452982946e-07,3.0366250020090505e-19,0.01835662673886605,2.7450704920920526e-07,1.187132991308136e-09,3.7908159250957794e-06,7.578326851467541e-07,3.506390483468364e-08,-1.1784166179461477e-33,-1.1867216350264556e-28,1.2925810013346737e-06,6.698503625771536e-05,6.726121579032623e-08
2.1150479714699468e-05,0.04836553141748826,7.735893457009816e-05,0.938,0.0,0.0,0.014025517292798021,0.0008704284017428885,0.0498981970302031,2.689195545553296e-09,-7.161115693964048e-27,0.0019925441580673116,2.101787779474666e-32,-1.9138949983492147e-41,8.34467665524708e-07,3.0419910288336063e-19,0.018360110511448043,2.74871842736547e-07,1.1871975429641205e-09,3.789891749454502e-06,7.578375797321405e-07,3.510405376104011e-08,1.5884621628857288e-34,1.0767058641317872e-28,1.2963791579522553e-06,6.694477265165566e-05,6.720426413391746e-08
2.1177115394550344e-05,0.04836553141748826,7.732029873678459e-05,0.938,0.0,0.0,0.014022422007293789,0.0008688313161137173,0.049898263613747655,2.698843151663448e-09,-7.161105848527012e-27,0.0019925377539790953,-1.5875128660974152e-31,-1.8540389870559166e-41,8.342846193398109e-07,3.0468208712764634e-19,0.018363238282149936,2.7520013350966013e-07,1.1872556264973238e-09,3.789061998040186e-06,7.5784195299538e-07,3.514018539461971e-08,-3.706063784829573e-33,-5.04295899920765e-29,1.2998020323264035e-06,6.690856953051292e-05,6.715309488780467e-08
2.120375107440122e-05,0.04836553141748826,7.72817529642962e-05,0.938,0.0,0.0,0.014019333821278726,0.0008672378630353628,0.049898330132252124,2.7085108840469555e-09,-7.161107796794292e-27,0.0019925313394216016,1.4275877478963647e-30,-1.8428289574224966e-41,8.341019939748639e-07,3.0516511078329514e-19,0.018366358852369466,2.755284021587886e-07,1.1873136974251475e-09,3.788234141464465e-06,7.578462960711701e-07,3.51763147565786e-08,3.0589558453976904e-32,1.5016797950579936e-29,1.3032292010850938e-06,6.687239880866603e-05,6.710200817812792e-08
2.1230386754252097e-05,0.04836553141748826,7.724329698151951e-05,0.938,0.0,0.0,0.014016252713096738,0.0008656480315067025,0.04989839658578469,2.718198752277186e-09,-7.161104884994399e-27,0.0019925249144015634,-3.455734636488864e-32,-1.8112378816636825e-41,8.339197881449353e-07,3.05648173679929e-19,0.018369472244041986,2.7585664872794017e-07,1.187371755430953e-09,3.7874081737645665e-06,7.578506089592613e-07,3.5212441849034793e-08,7.391450290724635e-33,1.6552834493704648e-28,1.3066606638111508e-06,6.683626055373955e-05,6.705100389251341e-08
2.1257022434102973e-05,0.04836553141748826,7.720493051837069e-05,0.938,0.0,0.0,0.014013178661180153,0.0008640618105712039,0.04989846297441383,2.7279067659015974e-09,-7.16108875878985e-27,0.001992518478925686,-1.1466913124582064e-30,-1.7272390824908128e-41,8.337380005703473e-07,3.0613127539545998e-19,0.018372578479013368,2.761848732609246e-07,1.1874298002018573e-09,3.7865840890028495e-06,7.57854891660033e-07,3.5248566674103946e-08,-2.4626732644187832e-32,-7.497016196335499e-29,1.310096420087582e-06,6.680015483254637e-05,6.700008191845856e-08
2.128365811395385e-05,0.04836553141748826,7.716665330579076e-05,0.938,0.0,0.0,0.014010111644049247,0.0008624791893166918,0.04989852929820828,2.7376349344417726e-09,-7.161076020438576e-27,0.0019925120330006514,1.1679508474163723e-30,-1.6590326767171178e-41,8.335566299766486e-07,3.0661441567560165e-19,0.018375677579040493,2.765130758013537e-07,1.1874878314283211e-09,3.7857618812665375e-06,7.578591441745505e-07,3.528468923389865e-08,2.0500098196347488e-32,-9.829631226529194e-29,1.313536469497573e-06,6.676408171109336e-05,6.694924214333569e-08
2.1310293793804725e-05,0.04836553141748826,7.712846507574096e-05,0.938,0.0,0.0,0.014007051640311787,0.0008609001568751197,0.04989859555723711,2.747383267393456e-09,-7.161069325106327e-27,0.0019925055766331122,1.8409409139349318e-31,-1.6179428196497197e-41,8.333756750945874e-07,3.0709759444331697e-19,0.01837876956579168,2.768412563926432e-07,1.1875458488016384e-09,3.7849415446675114e-06,7.578633665045239e-07,3.5320809530529476e-08,8.223685548872612e-33,1.645038614957415e-28,1.3169808116244922e-06,6.672804125458749e-05,6.689848445439529e-08
2.13369294736556e-05,0.04836553141748826,7.709036556119809e-05,0.938,0.0,0.0,0.014003998628662594,0.0008593247024223414,0.04989866175156961,2.7571517742265893e-09,-7.161057119982328e-27,0.0019924991098297005,-1.5988447106831235e-30,-1.5572201016143958e-41,8.331951346600851e-07,3.0758081126636978e-19,0.018381854460847166,2.771694150780123e-07,1.1876038520168027e-09,3.784123073342284e-06,7.578675586522574e-07,3.535692756610568e-08,-3.44974961601046e-32,-2.865725507344088e-29,1.3204294460518875e-06,6.669203352744164e-05,6.684780873876915e-08
